id;nombre;descripcion;precio;url_imagen;activo;creado;actualizado
1;Directo;focus Hormigon;89532;Acero Dollar Videojuegos;true;Integración Gris sistema;la unleash
2;navigating middleware Ingeniero;empower matrix;29996;Ergonómico;false;Pizza orchestrate;copy invoice
3;Operaciones;AI Ladrillo;67773;matrix;true;override Supervisor Guapa;Consultor
4;Adelante utilize Coche;Normas programming Home;51250;configurable Metal;false;transform Cambridgeshire Respuesta;Avon
5;Acero Leone;withdrawal;74635;Proactivo Azul;false;Mercados;Gorro ROI
6;next-generation compress;Marca;5491;Kiribati Inteligente;false;Afganistán firewall;Diseñador invoice Comunidad
7;Dinánmico;presupuestaria;45314;Zealand;true;Agente;Granito
8;indexing Madera Eslovaquia;escalable Cliente Agente;69140;withdrawal Tácticas recíproca;true;Gris Inteligente input;Account
9;Cantabria;panel;98827;frictionless New;false;solutions Metal granular;Borders clicks-and-mortar quantify
10;Bahraini deposit Parafarmacia;Account engage firewall;30145;Algodón;false;Loan Aruba Mobilidad;Castilla-La SAS
